vacancy,min_salary,max_salary,currency,url,source,employer
Программист-разработчик,,,,https://spb.hh.ru/vacancy/39673374?query=sql,https://www.hh.ru,ООО MTGroup
Аналитик данных,,,,https://spb.hh.ru/vacancy/38249192?query=sql,https://www.hh.ru, Билайн
SQL developer (Junior),,,,https://spb.hh.ru/vacancy/39993639?query=sql,https://www.hh.ru," МАГНИТ, Розничная сеть"
Разработчик баз данных,,,,https://spb.hh.ru/vacancy/39462079?query=sql,https://www.hh.ru,ООО Райффайзен Лайф
Data-аналитик,,,,https://spb.hh.ru/vacancy/39454366?query=sql,https://www.hh.ru,ООО Талмер
Разработчик С# (WPF),,,,https://spb.hh.ru/vacancy/39476837?query=sql,https://www.hh.ru, Spice Agency
Аналитик данных,,,,https://spb.hh.ru/vacancy/39851771?query=sql,https://www.hh.ru,АО ОКБ
DBA PostgreSQL,,,,https://spb.hh.ru/vacancy/39439675?query=sql,https://www.hh.ru,ООО Софт Компани
Керівник проектів у Відділ Data Science та діджиталізації CRM,,,,https://spb.hh.ru/vacancy/39755019?query=sql,https://www.hh.ru, Первый Украинский Международный банк
Программист (удаленно),80000.0,300000.0, KZT,https://spb.hh.ru/vacancy/39283706?query=sql,https://www.hh.ru,ИП Акулов
Программист Java,40000.0,110000.0,руб.,https://spb.hh.ru/vacancy/34731565?query=sql,https://www.hh.ru," ЭВРИКА, Санкт-Петербург"
Программист Java,,,,https://spb.hh.ru/vacancy/38879615?query=sql,https://www.hh.ru," iiko, Компания Aйко"
Программист С#,130000.0,130000.0,руб.,https://spb.hh.ru/vacancy/39278841?query=sql,https://www.hh.ru, Группа М
Аналитик данных,,,,https://spb.hh.ru/vacancy/39544298?query=sql,https://www.hh.ru,ООО Рукоделие онлайн
Java программист (Back-end + SQL),,,,https://spb.hh.ru/vacancy/39955094?query=sql,https://www.hh.ru, Кордисон
Веб-программист,45000.0,75000.0,руб.,https://spb.hh.ru/vacancy/39902591?query=sql,https://www.hh.ru,ИП Ильченко Игорь Александрович
"Python-разработчик (Django, DRF)",60000.0,150000.0,руб.,https://spb.hh.ru/vacancy/39736489?query=sql,https://www.hh.ru,ООО Фабрика Решений
Программист C#,,,,https://spb.hh.ru/vacancy/39458112?query=sql,https://www.hh.ru, Solvo
Программист .net,,,,https://spb.hh.ru/vacancy/37609361?query=sql,https://www.hh.ru,ООО Бизнес стандарт
Программист Python,,,,https://spb.hh.ru/vacancy/39278262?query=sql,https://www.hh.ru, Открытые Технологии
Senior разработчик Oracle E-Business Suite,,,,https://spb.hh.ru/vacancy/39409407?query=sql,https://www.hh.ru, DBI
Data analyst,,,,https://spb.hh.ru/vacancy/39549577?query=sql,https://www.hh.ru, Райффайзен Банк Аваль
Web-программист,,,,https://spb.hh.ru/vacancy/39663633?query=sql,https://www.hh.ru,ООО ДИАЛЛ АЛЬЯНС
.NET разработчик (удаленно),,,,https://spb.hh.ru/vacancy/39811428?query=sql,https://www.hh.ru, Инсайрес
Программист баз данных,,,,https://spb.hh.ru/vacancy/36882133?query=sql,https://www.hh.ru,ООО СГМК-Трейд
Программист (MS Access),,,,https://spb.hh.ru/vacancy/39965945?query=sql,https://www.hh.ru,ООО TopAssistant
QA/тестировщик со знанием SQL,90000.0,150000.0,руб.,https://spb.hh.ru/vacancy/39771141?query=sql,https://www.hh.ru, Bell Integrator
QA/тестировщик со знанием SQL,90000.0,150000.0,руб.,https://spb.hh.ru/vacancy/39771143?query=sql,https://www.hh.ru, Bell Integrator
QA/тестировщик со знанием SQL,90000.0,150000.0,руб.,https://spb.hh.ru/vacancy/39771144?query=sql,https://www.hh.ru, Bell Integrator
QA/тестировщик со знанием SQL,90000.0,150000.0,руб.,https://spb.hh.ru/vacancy/39771149?query=sql,https://www.hh.ru, Bell Integrator
Программист PHP,80000.0,140000.0,руб.,https://spb.hh.ru/vacancy/39674642?query=sql,https://www.hh.ru,ООО Центр инновационных технологий
"Разработчик SQL, Groovy",,,,https://spb.hh.ru/vacancy/39983774?query=sql,https://www.hh.ru,АО ДОМ.РФ
Full stack веб разработчик,,,,https://spb.hh.ru/vacancy/39425093?query=sql,https://www.hh.ru, Netris
Web-разработчик,,,,https://spb.hh.ru/vacancy/40008419?query=sql,https://www.hh.ru,АО ЦентрИнформ
Программист-разработчик C#,80000.0,150000.0,руб.,https://spb.hh.ru/vacancy/39911616?query=sql,https://www.hh.ru,ООО ПСС Лаборатория
Программист баз данных,,,,https://spb.hh.ru/vacancy/39346858?query=sql,https://www.hh.ru,ООО Руна-Сервис
MSSQL разработчик (удаленно),,,,https://spb.hh.ru/vacancy/38853312?query=sql,https://www.hh.ru, Тихомиров Алексей Владимирович
"Программист NET (C#, fullstack)",,,,https://spb.hh.ru/vacancy/33437226?query=sql,https://www.hh.ru, Транспортно-Логистический Холдинг Мэйджор
Программист Java,,,,https://spb.hh.ru/vacancy/39755582?query=sql,https://www.hh.ru,ООО Информационные системы и сервисы
PHP-программист,,,,https://spb.hh.ru/vacancy/39485051?query=sql,https://www.hh.ru,ООО ТКП-Софт
Аналитик данных,,,,https://spb.hh.ru/vacancy/39648805?query=sql,https://www.hh.ru, Билайн
"Программист/Разработчик PL/SQL, Junior/Middle (Центр города)",,,,https://spb.hh.ru/vacancy/39394277?query=sql,https://www.hh.ru, Консалтинговый Центр «Вакансия Плюс»
Программист C#,,,,https://spb.hh.ru/vacancy/39649347?query=sql,https://www.hh.ru,ООО ЭЛКОМ
Аналитик БД (Oracle),,,,https://spb.hh.ru/vacancy/39704694?query=sql,https://www.hh.ru,ООО РСХБ-Интех
Программист Data Science,,,,https://spb.hh.ru/vacancy/39290600?query=sql,https://www.hh.ru, Корпорация ЭЛАР
Разработчик ORACLE,,,,https://spb.hh.ru/vacancy/38996256?query=sql,https://www.hh.ru, Банк Открытие
Разработчик Oracle,,,,https://spb.hh.ru/vacancy/37828734?query=sql,https://www.hh.ru,ПАО СКБ-Банк
Delphi программист,40000.0,80000.0,руб.,https://spb.hh.ru/vacancy/37687439?query=sql,https://www.hh.ru,ООО Информационные технологии бизнеса
Главный разработчик (SQL),,,,https://spb.hh.ru/vacancy/38209279?query=sql,https://www.hh.ru," МАГНИТ, Розничная сеть"
Программист BI,,,,https://spb.hh.ru/vacancy/39520340?query=sql,https://www.hh.ru, Базэл Аэро
Программист Delphi,,,,https://spb.hh.ru/vacancy/38932944?query=sql,https://www.hh.ru, Планета здоровья
Программист C#,,,,https://spb.hh.ru/vacancy/39468824?query=sql,https://www.hh.ru,ООО Центр Информационных Технологий БАРС
Программист Oracle,70000.0,130000.0,руб.,https://spb.hh.ru/vacancy/39456393?query=sql,https://www.hh.ru, Город Иннополис
"Разработчик баз данных (Teradata, Oracle, SQL)",,,,https://spb.hh.ru/vacancy/39452109?query=sql,https://www.hh.ru, Сбер для экспертов
Oracle разработчик,,,,https://spb.hh.ru/vacancy/38993497?query=sql,https://www.hh.ru, СБЕРКОРУС
Программист 1 С,,,,https://spb.hh.ru/vacancy/36776608?query=sql,https://www.hh.ru, Банк ВТБ (Казахстан) Дочерняя организация Акционерное общество
Программист DWH/BI,,,,https://spb.hh.ru/vacancy/38289702?query=sql,https://www.hh.ru, IEK GROUP
Разработчик C#,140000.0,180000.0,руб.,https://spb.hh.ru/vacancy/39816972?query=sql,https://www.hh.ru,ЗАО НОРСИ-ТРАНС
Java-программист,,,,https://spb.hh.ru/vacancy/39574791?query=sql,https://www.hh.ru,ООО ЗКТеко биометрия и безопасность
Программист,,,,https://spb.hh.ru/vacancy/39624185?query=sql,https://www.hh.ru, ИАТВТ
SQL Developer,,,,https://spb.hh.ru/vacancy/39949528?query=sql,https://www.hh.ru, Game Insight
"C# WPF, Web-разработчик удалённо",300.0,1000.0, EUR,https://spb.hh.ru/vacancy/39466737?query=sql,https://www.hh.ru, Ship-cheaper
Разработчик C# (в отдел Ядро),,,,https://spb.hh.ru/vacancy/39052290?query=sql,https://www.hh.ru, ФинГрад
Python Developer (Data Science),,,,https://spb.hh.ru/vacancy/39959985?query=sql,https://www.hh.ru, Sphere Consulting
Программист Java,,,,https://spb.hh.ru/vacancy/39576177?query=sql,https://www.hh.ru, Микрофинансовая Компания Международный Центр Кредитования (МЦК)
PHP-программист full-stack,70000.0,100000.0,руб.,https://spb.hh.ru/vacancy/39701545?query=sql,https://www.hh.ru, Мир Магнитов
Python Team Lead (web),150000.0,200000.0,руб.,https://spb.hh.ru/vacancy/39892554?query=sql,https://www.hh.ru, M-soft
PHP-программист,140000.0,200000.0,руб.,https://spb.hh.ru/vacancy/39686048?query=sql,https://www.hh.ru,ООО Академия Частного Инвестора
Разработчик MS SQL в группу веб-разработки Ситилинк,,,,https://spb.hh.ru/vacancy/38854416?query=sql,https://www.hh.ru, MERLION
Программист C#,,,,https://spb.hh.ru/vacancy/39985002?query=sql,https://www.hh.ru,ООО Деловой партнер
PHP-программист,30000.0,35000.0,грн.,https://spb.hh.ru/vacancy/39690428?query=sql,https://www.hh.ru, Интегрос
Senior C#/.Net,,,,https://spb.hh.ru/vacancy/38891250?query=sql,https://www.hh.ru, BARONA
Программист .NET,,,,https://spb.hh.ru/vacancy/39537664?query=sql,https://www.hh.ru, PSI Co Ltd.
Web-разработчик,,,,https://spb.hh.ru/vacancy/39834981?query=sql,https://www.hh.ru,ООО Смартпойнт
Аналитик BI,,,,https://spb.hh.ru/vacancy/39682378?query=sql,https://www.hh.ru, KIVORK
Аналитик BI,,,,https://spb.hh.ru/vacancy/39682403?query=sql,https://www.hh.ru, KIVORK
Аналитик BI,,,,https://spb.hh.ru/vacancy/39682422?query=sql,https://www.hh.ru, KIVORK
Аналитик BI,,,,https://spb.hh.ru/vacancy/39682433?query=sql,https://www.hh.ru, KIVORK
Программист MS SQL (возможна удаленная работа),,,,https://spb.hh.ru/vacancy/39409977?query=sql,https://www.hh.ru, Мэйджор
Web-программист (Full-Stack),,,,https://spb.hh.ru/vacancy/34824291?query=sql,https://www.hh.ru,ООО КИП-Сервис
Программист C# / CSharp,,,,https://spb.hh.ru/vacancy/39335020?query=sql,https://www.hh.ru, ФГБУ ЦСМС
Senior C# .NET программист,,,,https://spb.hh.ru/vacancy/39236563?query=sql,https://www.hh.ru,ООО АБК
Программист (разработчик Oracle),140000.0,200000.0,руб.,https://spb.hh.ru/vacancy/37191593?query=sql,https://www.hh.ru," Протек, Центр Внедрения"
PHP-программист (Удаленно),60000.0,70000.0,руб.,https://spb.hh.ru/vacancy/39891250?query=sql,https://www.hh.ru,ООО ИНЛАЙН
Back-End C# (dotNet Core) разработчик,,,,https://spb.hh.ru/vacancy/39623421?query=sql,https://www.hh.ru,ООО Лайфхак Студио
C# / .NET Developer,,,,https://spb.hh.ru/vacancy/39754521?query=sql,https://www.hh.ru, CREDIT AGRICOLE BANK
Ведущий разработчик Oracle (Senior Oracle Developer),,,,https://spb.hh.ru/vacancy/39251808?query=sql,https://www.hh.ru, Lanck Telecom
Специалист 3 линии технической поддержки (со знанием SQL),,,,https://spb.hh.ru/vacancy/39953439?query=sql,https://www.hh.ru, РТС-Тендер
Разработчик БД (SQL Sybase),,,,https://spb.hh.ru/vacancy/39796649?query=sql,https://www.hh.ru, Северсталь. ИТ Компания
Разработчик БД (SQL Sybase),,,,https://spb.hh.ru/vacancy/39796654?query=sql,https://www.hh.ru, Северсталь. ИТ Компания
SQL-разработчик / BI-разработчик,60000.0,120000.0,руб.,https://spb.hh.ru/vacancy/38863887?query=sql,https://www.hh.ru, West Concept
Программист PHP,80000.0,120000.0,руб.,https://spb.hh.ru/vacancy/39756518?query=sql,https://www.hh.ru,ООО ИнтерВис
Oracle DBA,,,,https://spb.hh.ru/vacancy/39928417?query=sql,https://www.hh.ru, Лига Цифровой Экономики
Аналитик BI,,,,https://spb.hh.ru/vacancy/39819358?query=sql,https://www.hh.ru,ООО Асклепиус
Программист,80000.0,140000.0,руб.,https://spb.hh.ru/vacancy/39936818?query=sql,https://www.hh.ru,ООО С-Протект
Программист C# / .NET,,,,https://spb.hh.ru/vacancy/38876113?query=sql,https://www.hh.ru," СУЭК, Сибирская Угольная Энергетическая Компания"
Программист Delphi,,,,https://spb.hh.ru/vacancy/39935297?query=sql,https://www.hh.ru, Брайт Солюшенз
Программист Java,,,,https://spb.hh.ru/vacancy/39876628?query=sql,https://www.hh.ru, Development Systems ( ООО Девелопмент Системс)
Старший Java-программист,130000.0,130000.0,руб.,https://spb.hh.ru/vacancy/39425907?query=sql,https://www.hh.ru, Финансовое Агентство по Сбору Платежей
Программист C# ASP.NET Core,100000.0,150000.0,руб.,https://spb.hh.ru/vacancy/39989484?query=sql,https://www.hh.ru," Бурстройпроект, ОКБ"
Web-программист,70000.0,120000.0,руб.,https://spb.hh.ru/vacancy/39841662?query=sql,https://www.hh.ru,ООО ИТА ГРУПП
"Программист C# .Net (WinForms, WPF)",50000.0,80000.0,руб.,https://spb.hh.ru/vacancy/39925679?query=sql,https://www.hh.ru, Мульти Ворк
Web-программист,,,,https://spb.hh.ru/vacancy/39908952?query=sql,https://www.hh.ru, Bornsoon
Программист C#,,,,https://spb.hh.ru/vacancy/39342557?query=sql,https://www.hh.ru, Морской Экспресс
Разработчик MS SQL,,,,https://spb.hh.ru/vacancy/37605969?query=sql,https://www.hh.ru, Улыбка радуги
"Разработчик C#,ASP.NET",,,,https://spb.hh.ru/vacancy/39673569?query=sql,https://www.hh.ru, Питертур
Аналитик данных (BI отчетность),,,,https://spb.hh.ru/vacancy/39345431?query=sql,https://www.hh.ru," ОТП Банк, АО (OTP bank)"
Веб-программист,,,,https://spb.hh.ru/vacancy/39495212?query=sql,https://www.hh.ru, Крауд
Программист службы сопровождения Oracle,,,,https://spb.hh.ru/vacancy/39410324?query=sql,https://www.hh.ru, Colvir Software Solutions
Программист C#,,,,https://spb.hh.ru/vacancy/39879404?query=sql,https://www.hh.ru,ТОО Rating (IT-Компания Рейтинг)
Программист Oracle,,,,https://spb.hh.ru/vacancy/34429206?query=sql,https://www.hh.ru,"ООО МОТИВ, телекоммуникационная группа"
Программист,70000.0,120000.0,руб.,https://spb.hh.ru/vacancy/39627896?query=sql,https://www.hh.ru, Филиал АО ГНИВЦ в Чувашской Республике
"Full stack .NET (ASP.NET, Angular, SQL)",,,,https://spb.hh.ru/vacancy/38872088?query=sql,https://www.hh.ru, Linkos Group
Разработчик PL/SQL Oracle,,,,https://spb.hh.ru/vacancy/39261914?query=sql,https://www.hh.ru, Перекресток
Администратор баз данных (MS SQL),,,,https://spb.hh.ru/vacancy/35198650?query=sql,https://www.hh.ru, ONLINECONTRACT
Программист .NET (С#) / ASP.NET (возможность удаленной работы),120000.0,180000.0,руб.,https://spb.hh.ru/vacancy/39845219?query=sql,https://www.hh.ru, Работа-это проСТО
Oracle разработчик,,,,https://spb.hh.ru/vacancy/39854925?query=sql,https://www.hh.ru, Точка
"Разработчик Delphi, SQL",,,,https://spb.hh.ru/vacancy/39813782?query=sql,https://www.hh.ru, Московский аэропорт Домодедово
Программист Delphi,80000.0,120000.0,руб.,https://spb.hh.ru/vacancy/39830732?query=sql,https://www.hh.ru,ООО Квадрат
Программист Delphi,90000.0,90000.0,руб.,https://spb.hh.ru/vacancy/39819117?query=sql,https://www.hh.ru, ИОН — НOУ-ХАУ
Разработчик PL/SQL Oracle (Apex) в медицинскую страховую компанию,130000.0,150000.0,руб.,https://spb.hh.ru/vacancy/39237554?query=sql,https://www.hh.ru, Страховая группа МАКС
Программист Delphi,,,,https://spb.hh.ru/vacancy/39571495?query=sql,https://www.hh.ru, ЭЛЕКТРОЩИТ САМАРА
Разработчик MS SQL,,,,https://spb.hh.ru/vacancy/39796710?query=sql,https://www.hh.ru, Северсталь. ИТ Компания
Разработчик MS SQL,,,,https://spb.hh.ru/vacancy/39796552?query=sql,https://www.hh.ru, Северсталь. ИТ Компания
Разработчик MS SQL,,,,https://spb.hh.ru/vacancy/39796579?query=sql,https://www.hh.ru, Северсталь. ИТ Компания
Разработчик MS SQL,,,,https://spb.hh.ru/vacancy/39796524?query=sql,https://www.hh.ru, Северсталь. ИТ Компания
Программист Delphi,,,,https://spb.hh.ru/vacancy/39371202?query=sql,https://www.hh.ru,ООО АБР Тех
.NET разработчик,,,,https://spb.hh.ru/vacancy/39506044?query=sql,https://www.hh.ru,ООО Эн Ди Пи
"Инженер-проектировщик (Oracle, PL SQL)",,,,https://spb.hh.ru/vacancy/39801246?query=sql,https://www.hh.ru, Центр финансовых технологий
Программист Delphi,,,,https://spb.hh.ru/vacancy/39767141?query=sql,https://www.hh.ru,ПАО Совкомбанк
Программист Delphi,,,,https://spb.hh.ru/vacancy/39779810?query=sql,https://www.hh.ru,ООО Пол Страны
Разработчик ETL/ORACLE,,,,https://spb.hh.ru/vacancy/39107338?query=sql,https://www.hh.ru, Лига Цифровой Экономики
Разработчик Oracle Bi,,,,https://spb.hh.ru/vacancy/39769612?query=sql,https://www.hh.ru," СИБУР, Группа компаний"
Программист Delphi,,,,https://spb.hh.ru/vacancy/38395068?query=sql,https://www.hh.ru,"ООО Кубань Кредит, КБ"
"Инженер-проектировщик (Oracle, PL SQL)",,,,https://spb.hh.ru/vacancy/38635210?query=sql,https://www.hh.ru, Центр финансовых технологий
Программист Oracle,,,,https://spb.hh.ru/vacancy/39841994?query=sql,https://www.hh.ru, ФГБУ ФНКЦ специализированных видов медицинской помощи и медицинских технологий ФМБА России
Консультант ORACLE,,,,https://spb.hh.ru/vacancy/39261919?query=sql,https://www.hh.ru, Selecty
Программист Oracle,,,,https://spb.hh.ru/vacancy/39746970?query=sql,https://www.hh.ru,ПАО Центр международной торговли
Oracle разработчик,,,,https://spb.hh.ru/vacancy/39715958?query=sql,https://www.hh.ru, DPD в России
Программист Oracle Forms 6i,,,,https://spb.hh.ru/vacancy/34474554?query=sql,https://www.hh.ru,АО Мосводоканал
"Администратор баз данных PostgreSQL,ORACLE,PL/SQL",,,,https://spb.hh.ru/vacancy/39108442?query=sql,https://www.hh.ru,АО ЕВРОЦЕМЕНТ груп
Data science,,,,https://spb.hh.ru/vacancy/39147890?query=sql,https://www.hh.ru,ПАО РОССИЙСКИЙ НАЦИОНАЛЬНЫЙ КОММЕРЧЕСКИЙ БАНК
Golang engineer (FinTech),,,,https://spb.hh.ru/vacancy/39886111?query=sql,https://www.hh.ru, SoftSwiss
QA Automation Engineer (Fintech),,,,https://spb.hh.ru/vacancy/39886093?query=sql,https://www.hh.ru, SoftSwiss
Senior QA Automation Engineer (Cyprus),,,,https://spb.hh.ru/vacancy/36849279?query=sql,https://www.hh.ru, Wisebits
Руководитель ИТ- проектов (проект e- commerce),,,,https://spb.hh.ru/vacancy/38279309?query=sql,https://www.hh.ru, Франчайзинговая розничная сеть Галамарт
Software Development Engineer in Test (SDET),,,,https://spb.hh.ru/vacancy/39878002?query=sql,https://www.hh.ru, Wiley
Software QA Engineer,,,,https://spb.hh.ru/vacancy/39878458?query=sql,https://www.hh.ru, БигСайтГрупп
Archivist,,,,https://spb.hh.ru/vacancy/39356466?query=sql,https://www.hh.ru," Wargaming, Minsk (Game Stream)"
"Технический специалист, IT (CyberSport)",70000.0,120000.0,руб.,https://spb.hh.ru/vacancy/39877847?query=sql,https://www.hh.ru,ООО Колизеум
1С разработчик,,,,https://spb.hh.ru/vacancy/39878853?query=sql,https://www.hh.ru, SoftSwiss
Аналитик данных (SQL),,,,https://spb.hh.ru/vacancy/39403402?query=sql,https://www.hh.ru, Яндекс
Программист информационной системы (SQL),,,,https://spb.hh.ru/vacancy/39549915?query=sql,https://www.hh.ru, СевСтар
Разработчик MS SQL,,,,https://spb.hh.ru/vacancy/39729735?query=sql,https://www.hh.ru,ООО ФАТТУРА
Программист Delphi,80000.0,100000.0,руб.,https://spb.hh.ru/vacancy/39865057?query=sql,https://www.hh.ru,ООО Актив Датабейз Софтваре
WEB программист,,,,https://spb.hh.ru/vacancy/39735501?query=sql,https://www.hh.ru,ООО КроСистем
Разработчик PL/SQL (ЦФТ-Банк),,,,https://spb.hh.ru/vacancy/39779674?query=sql,https://www.hh.ru,ООО ЛИПТ Софт
DBA Oracle,,,,https://spb.hh.ru/vacancy/39947738?query=sql,https://www.hh.ru, Сбер для экспертов
Разработчик MS SQL,,,,https://spb.hh.ru/vacancy/38790978?query=sql,https://www.hh.ru, Diasoft
Разработчик MS SQL,,,,https://spb.hh.ru/vacancy/39603336?query=sql,https://www.hh.ru, Diasoft
Программист .NET,80000.0,120000.0,руб.,https://spb.hh.ru/vacancy/38631426?query=sql,https://www.hh.ru,ООО Экстенсив
Программист C#,,,,https://spb.hh.ru/vacancy/39462522?query=sql,https://www.hh.ru,ООО ПАЛИТРА СИСТЕМ
Программист C++,60000.0,80000.0,руб.,https://spb.hh.ru/vacancy/39627753?query=sql,https://www.hh.ru,ООО Инжэниус Тим
Программист,,,,https://spb.hh.ru/vacancy/39823178?query=sql,https://www.hh.ru,ООО Рекурсион
Программист .NET (С#) / ASP.NET (возможность удаленной работы),120000.0,150000.0,руб.,https://spb.hh.ru/vacancy/39843602?query=sql,https://www.hh.ru, Работа-это проСТО
Программист Delphi,,,,https://spb.hh.ru/vacancy/38648768?query=sql,https://www.hh.ru,ООО АлюсофтБел
ASP.Net-програміст,20000.0,50000.0,грн.,https://spb.hh.ru/vacancy/38869000?query=sql,https://www.hh.ru, Linkos Group
Программист,,,,https://spb.hh.ru/vacancy/39425130?query=sql,https://www.hh.ru, OmniLine
Web-программист,40000.0,70000.0,руб.,https://spb.hh.ru/vacancy/39688030?query=sql,https://www.hh.ru, SpacePort
Java-программист,,,,https://spb.hh.ru/vacancy/39449489?query=sql,https://www.hh.ru, ГазИнтех
C# программист,,,,https://spb.hh.ru/vacancy/39555513?query=sql,https://www.hh.ru, Good Line
Web-программист,,,,https://spb.hh.ru/vacancy/39462525?query=sql,https://www.hh.ru,ООО ПАЛИТРА СИСТЕМ
Web-программист,35000.0,50000.0,руб.,https://spb.hh.ru/vacancy/39431918?query=sql,https://www.hh.ru, Digital-агентство kvokka
Разработчик баз данных (Pl/SQL),,,,https://spb.hh.ru/vacancy/37571452?query=sql,https://www.hh.ru, Тинькофф
Веб-программист,,,,https://spb.hh.ru/vacancy/40005780?query=sql,https://www.hh.ru, Вирчуал трейд технолоджи
Программист MS SQL,,,,https://spb.hh.ru/vacancy/38876952?query=sql,https://www.hh.ru, MERLION
Web-программист,,,,https://spb.hh.ru/vacancy/39649340?query=sql,https://www.hh.ru, Калкулэйт
Программист C#/ .NET,,,,https://spb.hh.ru/vacancy/39933633?query=sql,https://www.hh.ru, Полиграф-защита СПб
Программист C#,,,,https://spb.hh.ru/vacancy/39978675?query=sql,https://www.hh.ru,ООО Акссофт Девелопмент
Программист Delphi,,,,https://spb.hh.ru/vacancy/39681549?query=sql,https://www.hh.ru, Ceramic3d
Программист,,,,https://spb.hh.ru/vacancy/39717578?query=sql,https://www.hh.ru,ООО Кодер.Ул
Программист,25000.0,25000.0,руб.,https://spb.hh.ru/vacancy/39978986?query=sql,https://www.hh.ru,ООО Траектория
Программист C#,,,,https://spb.hh.ru/vacancy/30009711?query=sql,https://www.hh.ru,ООО ФБ Консалт
Программист,80000.0,150000.0,руб.,https://spb.hh.ru/vacancy/39690637?query=sql,https://www.hh.ru, THOR tuning
Программист,60000.0,150000.0,руб.,https://spb.hh.ru/vacancy/40002809?query=sql,https://www.hh.ru, Модерн
Программист Delphi,,,,https://spb.hh.ru/vacancy/39537813?query=sql,https://www.hh.ru, ANCOR Industry
Старший программист C#,100000.0,125000.0,руб.,https://spb.hh.ru/vacancy/39828260?query=sql,https://www.hh.ru,ИП Миргалеев Марат Раильевич
Программист C#,,,,https://spb.hh.ru/vacancy/40007291?query=sql,https://www.hh.ru,ООО Интэком
Ведущий программист Oracle,,,,https://spb.hh.ru/vacancy/39152007?query=sql,https://www.hh.ru,АО НПФ «Открытие»
Разработчик-программист PL/SQL,,,,https://spb.hh.ru/vacancy/39919174?query=sql,https://www.hh.ru, Банк ВТБ (Казахстан) Дочерняя организация Акционерное общество
Веб-программист,,,,https://spb.hh.ru/vacancy/39665450?query=sql,https://www.hh.ru,ООО ЯСП
Программист,,,,https://spb.hh.ru/vacancy/39849845?query=sql,https://www.hh.ru,АО ТЭК-Торг
Full-stack / PHP developer,,,,https://spb.hh.ru/vacancy/38328926?query=sql,https://www.hh.ru,ООО Зефир Девелопмент / Zephyrmobile
Junior PHP-разработчик,1500000.0,2000000.0, сум,https://spb.hh.ru/vacancy/40007315?query=sql,https://www.hh.ru, Micros Development
Программист-разработчик,,,,https://spb.hh.ru/vacancy/38744017?query=sql,https://www.hh.ru, A&D Mortgage
Программист 1С,120000.0,170000.0,руб.,https://spb.hh.ru/vacancy/37619066?query=sql,https://www.hh.ru,ООО Финансово-правовой альянс
Middle WPF developer,,,,https://spb.hh.ru/vacancy/37984729?query=sql,https://www.hh.ru, SaM Solutions Самсолюшнс
Frontend Разработчик (React / Node.js),100000.0,150000.0,руб.,https://spb.hh.ru/vacancy/40013602?query=sql,https://www.hh.ru, Lincoln Labs
Системный администратор,,,,https://spb.hh.ru/vacancy/39992540?query=sql,https://www.hh.ru,ООО SDT (Strategic Development Team)
Программист 1C,,,,https://spb.hh.ru/vacancy/39732722?query=sql,https://www.hh.ru,ООО Оптимальный Путь
Senior WEB-Developer (удаленная работа),,,,https://spb.hh.ru/vacancy/37036749?query=sql,https://www.hh.ru, CBS Interactive
Middle/Senior Data Analyst,,,,https://spb.hh.ru/vacancy/39486069?query=sql,https://www.hh.ru, APALON
Java developer,,,,https://spb.hh.ru/vacancy/39977021?query=sql,https://www.hh.ru, Oxagile
IT architect/ Team Lead (JS),,,,https://spb.hh.ru/vacancy/40013033?query=sql,https://www.hh.ru,ООО Технологии вокруг
Преподаватель по Back-end (PHP) веб-разработке,,,,https://spb.hh.ru/vacancy/39929363?query=sql,https://www.hh.ru,ООО АйтиДизайн
Специалист IT,100000.0,150000.0,руб.,https://spb.hh.ru/vacancy/39819313?query=sql,https://www.hh.ru," Sport Life, сеть спортивных клубов"
Server Side Developer,,,,https://spb.hh.ru/vacancy/39960762?query=sql,https://www.hh.ru," Wargaming, Saint Petersburg (Lesta Studio)"
Senior Full Stack developer (удаленная работа),,,,https://spb.hh.ru/vacancy/37036743?query=sql,https://www.hh.ru, CBS Interactive
Data Engineer (Information Retrieval Team),,,,https://spb.hh.ru/vacancy/39342560?query=sql,https://www.hh.ru,ООО IHS Global
Data Engineer (Information Retrieval Team),,,,https://spb.hh.ru/vacancy/39362155?query=sql,https://www.hh.ru,ООО IHS Global
Senior Java Backend developer,,,,https://spb.hh.ru/vacancy/39566824?query=sql,https://www.hh.ru,ООО Дельта Софт Групп
Enterprise Administrator,,,,https://spb.hh.ru/vacancy/39591993?query=sql,https://www.hh.ru," Wargaming, Moscow"
PHP developer,800.0,1800.0, USD,https://spb.hh.ru/vacancy/39940981?query=sql,https://www.hh.ru,ООО Newmax Technologies
PHP developer,,,,https://spb.hh.ru/vacancy/38407879?query=sql,https://www.hh.ru,УП Руна Системс
Senior Ruby-on-Rails Developer (RnD),,,,https://spb.hh.ru/vacancy/39372459?query=sql,https://www.hh.ru, SoftSwiss
Senior PHP Developer,,,,https://spb.hh.ru/vacancy/39415392?query=sql,https://www.hh.ru, APALON
Senior .NET/C# developer,,,,https://spb.hh.ru/vacancy/39924946?query=sql,https://www.hh.ru,ООО Фаброс
Главный аналитик отдела закупок / Специалист по планированию пополнения,,,,https://spb.hh.ru/vacancy/38672105?query=sql,https://www.hh.ru, Л'Этуаль
Flutter/dart developer,,,,https://spb.hh.ru/vacancy/40013067?query=sql,https://www.hh.ru,ООО Технологии вокруг
Database Developer (PostgreSQL),,,,https://spb.hh.ru/vacancy/39930086?query=sql,https://www.hh.ru, СофтКлуб
