vacancy,min_salary,max_salary,currency,url,source,employer
QA,,,,https://spb.hh.ru/vacancy/40012055?query=sql,https://www.hh.ru,ООО Пэйсенд Процессинг
PHP программист разработчик в маркетплейс Розовый Кролик,70000.0,80000.0,руб.,https://spb.hh.ru/vacancy/39674849?query=sql,https://www.hh.ru, Pinkrabbit Group
Junior Java Developer,,,,https://spb.hh.ru/vacancy/39458991?query=sql,https://www.hh.ru, AIM Consulting
QA Engineer,70000.0,110000.0,руб.,https://spb.hh.ru/vacancy/39938067?query=sql,https://www.hh.ru, B2Broker Москва
Программист 1С,,,,https://spb.hh.ru/vacancy/38529300?query=sql,https://www.hh.ru,ООО Фарм Консалтинг
PHP Developer,,,,https://spb.hh.ru/vacancy/39074170?query=sql,https://www.hh.ru, SIBERS
PHP-разработчик,,,,https://spb.hh.ru/vacancy/35533398?query=sql,https://www.hh.ru, RAKETA
Системный аналитик,,,,https://spb.hh.ru/vacancy/39966133?query=sql,https://www.hh.ru,"АО Банк Хоум Кредит, ДБ АО"
Data Engineer,,,,https://spb.hh.ru/vacancy/39408997?query=sql,https://www.hh.ru, Game Insight
Senior Java Developer,,,,https://spb.hh.ru/vacancy/39647036?query=sql,https://www.hh.ru,ООО Коркласс
Web-программист,50000.0,93600.0,руб.,https://spb.hh.ru/vacancy/39919124?query=sql,https://www.hh.ru,АО ПИК-Индустрия
"Web-программист (PHP, Senior)",50000.0,70000.0,руб.,https://spb.hh.ru/vacancy/31296144?query=sql,https://www.hh.ru,ООО ПРОГРАММНЫЙ ЦЕНТР
Антифрод-аналитик,,,,https://spb.hh.ru/vacancy/39802576?query=sql,https://www.hh.ru, Group-IB
Full-Stack Web Developer,,,,https://spb.hh.ru/vacancy/39959441?query=sql,https://www.hh.ru, Cbonds.ru
"Ведущий веб-разработчик (PHP, Yii)",120000.0,150000.0,руб.,https://spb.hh.ru/vacancy/39847965?query=sql,https://www.hh.ru,ООО РУВЕНТС
"Ведущий веб-разработчик (PHP, Yii)",120000.0,150000.0,руб.,https://spb.hh.ru/vacancy/39847966?query=sql,https://www.hh.ru,ООО РУВЕНТС
Системный аналитик MS Dynamics,120000.0,150000.0,руб.,https://spb.hh.ru/vacancy/39844254?query=sql,https://www.hh.ru, Национальный исследовательский университет Высшая школа экономики
Системный аналитик / Банковские сервисы,,,,https://spb.hh.ru/vacancy/39672821?query=sql,https://www.hh.ru, Банк Хоум Кредит
Руководитель Группы внедрения (хранилище данных),,,,https://spb.hh.ru/vacancy/35369827?query=sql,https://www.hh.ru, R-Style Softlab (Эр-Стайл Софтлаб)
Програміст 1С (Junior),,,,https://spb.hh.ru/vacancy/39775984?query=sql,https://www.hh.ru,ООО Украгроком
"PHP разработчик, бэкэнд (Middle/Senior)",100000.0,180000.0,руб.,https://spb.hh.ru/vacancy/39818865?query=sql,https://www.hh.ru,ООО Zaauto
ASP.NET разработчик,,,,https://spb.hh.ru/vacancy/39957657?query=sql,https://www.hh.ru, ЛАНИТ- Интеграция
РНР-разработчик (Junior),,,,https://spb.hh.ru/vacancy/39970525?query=sql,https://www.hh.ru,ООО Суши-Маркет.Сom
Системный аналитик (банковское ПО),,,,https://spb.hh.ru/vacancy/38785169?query=sql,https://www.hh.ru,ООО РСХБ-Интех
Ведущий программист ETL,,,,https://spb.hh.ru/vacancy/38802859?query=sql,https://www.hh.ru, Связной
Системный администратор,,,,https://spb.hh.ru/vacancy/39923114?query=sql,https://www.hh.ru,ТОО ПАКТ
Системный аналитик,,,,https://spb.hh.ru/vacancy/38741647?query=sql,https://www.hh.ru, Effective Technologies
Senior backend разработчик (С# ASP.NET CORE),180000.0,320000.0,руб.,https://spb.hh.ru/vacancy/39386273?query=sql,https://www.hh.ru,ООО EMEX
Аналитик (data scientist/data analyst),,,,https://spb.hh.ru/vacancy/37982873?query=sql,https://www.hh.ru,ООО АйтиСмартФинанс
Аналитик (маркетинговые исследования),,,,https://spb.hh.ru/vacancy/39571473?query=sql,https://www.hh.ru, O'STIN
.Net Full-Stack Developer,,,,https://spb.hh.ru/vacancy/39446091?query=sql,https://www.hh.ru, QITTIQ SOLUTIONS
Программист-разработчик,120000.0,200000.0,руб.,https://spb.hh.ru/vacancy/37923925?query=sql,https://www.hh.ru, Университет СИНЕРГИЯ
Специалист по автоматизации отчетности (Oracle),,,,https://spb.hh.ru/vacancy/39208023?query=sql,https://www.hh.ru, АБСОЛЮТ БАНК
Системный аналитик (банковское ПО),,,,https://spb.hh.ru/vacancy/38782897?query=sql,https://www.hh.ru,ООО РСХБ-Интех
Аналитик (банк),,,,https://spb.hh.ru/vacancy/37021598?query=sql,https://www.hh.ru, Лига Цифровой Экономики
Web-разработчик (Perl),,,,https://spb.hh.ru/vacancy/39636914?query=sql,https://www.hh.ru, Доктор Веб
Data Engineer,,,,https://spb.hh.ru/vacancy/39778193?query=sql,https://www.hh.ru, «Газпромбанк» (Акционерное общество)
Backend-разработчик (Golang),,,,https://spb.hh.ru/vacancy/39238186?query=sql,https://www.hh.ru,ООО «Инносети»
Senior Web Developer (C#),,,,https://spb.hh.ru/vacancy/37981133?query=sql,https://www.hh.ru, Across Systems
Инженер-программист (Wonderware System Platform),,,,https://spb.hh.ru/vacancy/39879277?query=sql,https://www.hh.ru,ЗАО КонсОМ СКС
"Junior Developer (HTML, CSS, React)",20000.0,40000.0,руб.,https://spb.hh.ru/vacancy/39731587?query=sql,https://www.hh.ru, Bambook
Middle/Senior Full Stack Web Developer,100000.0,150000.0,руб.,https://spb.hh.ru/vacancy/39722434?query=sql,https://www.hh.ru,ИП Букреев Александр Павлович
Веб-аналитик,,,,https://spb.hh.ru/vacancy/39977724?query=sql,https://www.hh.ru, Офис «Азбука вкуса»
Программист C# (Зеленоград),,,,https://spb.hh.ru/vacancy/39931074?query=sql,https://www.hh.ru,ООО «DynamicSun LLC»
PHP программист-разработчик / PHP Developer,70000.0,120000.0,руб.,https://spb.hh.ru/vacancy/39575539?query=sql,https://www.hh.ru, Профессиональные Комплексные Решения
Старший программист 1с УТ11,130000.0,130000.0,руб.,https://spb.hh.ru/vacancy/39552693?query=sql,https://www.hh.ru,ИП Sibdroid
Java-разработчик (программист),,,,https://spb.hh.ru/vacancy/39853713?query=sql,https://www.hh.ru,ООО МобиСтаф
Системный администратор Linux (Техническая поддержка web-приложений),40000.0,55000.0,руб.,https://spb.hh.ru/vacancy/38000912?query=sql,https://www.hh.ru, ПэйКипер
Системный администратор Linux (Техническая поддержка web-приложений),40000.0,55000.0,руб.,https://spb.hh.ru/vacancy/38001133?query=sql,https://www.hh.ru, ПэйКипер
Аналитик BI в Отдел статистического анализа и моделирования,,,,https://spb.hh.ru/vacancy/39926016?query=sql,https://www.hh.ru, МигКредит
